,timestamp,category,state,customer,product,scaled_price,rating
152558,2017-03-22 10:34:47,49,22,85134,14970,-0.3959792454727394,0
152632,2017-11-22 09:52:07,49,22,44334,21596,0.06897370813369687,0
152780,2018-01-05 18:37:18,49,22,20457,3580,0.05041800302967717,1
153224,2018-03-16 14:21:00,49,22,84721,17944,-0.14044067804023963,1
153409,2017-01-26 16:23:03,49,22,70287,29566,-0.2189048024800943,1
153816,2017-11-17 13:12:10,49,22,51981,17274,-0.5022769275686236,1
153890,2017-05-28 22:18:09,49,22,49088,30033,-0.5022769275686236,1
156098,2017-07-20 14:56:52,49,20,19273,29444,0.1347139205022238,1
157514,2017-04-15 16:06:20,49,20,54385,29444,0.240746521096622,1
161257,2017-09-14 10:12:04,49,22,64038,26973,-0.42338867272639125,0
163404,2018-04-06 11:46:03,49,22,14124,6199,-0.023804817386401583,0
182879,2017-03-12 10:24:33,49,8,76056,11490,-0.5858306168370094,1
184001,2018-01-04 00:48:26,49,8,15712,14050,-0.3949719357670926,1
188553,2018-07-26 10:34:04,49,20,73680,24815,-0.5200373881681853,0
189135,2018-06-07 09:12:28,49,20,48560,7860,0.07692615317827674,0
191594,2018-06-02 11:03:09,49,8,59390,12261,-0.2894164818753691,0
209376,2017-12-20 09:56:35,49,22,10119,6165,-0.36841076931819583,1
210620,2017-07-29 15:38:47,49,22,29516,24569,-0.4055751958265324,0
211242,2017-05-05 08:45:28,49,22,67860,646,-0.38431565940735557,1
212175,2017-10-07 06:49:55,49,22,90405,12269,-0.27828305881295734,1
220883,2018-03-04 13:42:10,49,22,1067,14876,-0.5381159465695302,0
221816,2018-02-25 09:57:15,49,22,28755,14876,-0.5381159465695302,1
225237,2018-04-23 01:54:23,49,22,2042,4138,-0.5192951599640244,1
225548,2017-08-19 22:03:36,49,22,87668,4138,-0.5063061663912107,1
226481,2017-07-28 17:03:33,49,22,33595,21653,-0.5116077964209307,0
235189,2018-05-23 12:34:28,49,22,90319,31621,-0.23549890447311767,0
237988,2017-07-17 15:14:19,49,22,58530,75,-0.4055751958265324,0
239854,2017-08-27 19:30:49,49,22,25345,75,-0.42142706961539494,1
242653,2018-06-06 17:30:59,49,22,81457,23269,-0.27828305881295734,1
244830,2017-09-30 07:44:48,49,22,16888,8135,-0.28358468884267723,1
247007,2018-01-12 18:30:53,49,22,9274,8135,-0.28358468884267723,0
251050,2018-07-16 18:10:36,49,22,31742,11844,-0.46702108787098623,1
254782,2018-02-08 18:30:47,49,22,87564,20490,-0.40976348355001113,1
257270,2017-09-12 08:56:57,49,22,85429,2728,-0.4055751958265324,1
262557,2017-12-07 22:36:10,49,22,71760,22517,-0.2570765386940777,0
263490,2018-02-20 23:02:50,49,22,33776,22517,-0.24117164860491794,0
265045,2018-06-03 11:42:01,49,22,71882,22517,-0.24117164860491794,0
266911,2017-07-30 19:32:23,49,22,57541,19995,-0.4108238095559551,0
272509,2018-01-02 17:05:06,49,22,80316,31617,-0.5593224666884099,0
275930,2017-09-29 19:30:05,49,22,88382,24097,-0.43203032967483473,1
276552,2017-11-19 14:47:50,49,22,90405,19709,-0.27828305881295734,1
279351,2017-03-05 21:47:58,49,22,34963,17275,-0.41617845588597224,0
279662,2017-07-31 15:26:03,49,22,11423,17275,-0.415065113579731,1
283705,2017-07-17 15:14:19,49,22,58530,32201,-0.28358468884267723,0
285260,2017-07-07 12:48:06,49,22,50420,3155,-0.5328673328401075,1
291169,2017-05-02 10:01:50,49,22,72918,50,-0.23592303487549526,1
296456,2017-04-14 19:35:35,49,22,68496,31137,-0.20411325469717578,0
307030,2017-09-14 19:08:45,49,22,1401,21876,-0.501057552661788,1
309829,2017-11-19 21:38:26,49,22,43200,2401,-0.4272588626480869,1
311073,2017-08-25 14:52:04,49,22,30231,2601,-0.41617845588597224,1
315427,2017-07-28 09:35:08,49,22,15000,30281,-0.5009515200611936,1
318848,2017-06-27 17:01:45,49,22,49942,18635,-0.21466349845631838,0
320403,2017-11-03 17:45:48,49,22,90405,31539,-0.27828305881295734,1
320714,2017-07-28 09:35:08,49,22,15000,25896,-0.5009515200611936,1
321025,2018-01-03 14:58:25,49,22,2061,25896,-0.501057552661788,0
321647,2017-09-13 07:59:23,49,22,23711,23060,0.03451311294051744,1
327867,2018-07-11 22:18:53,49,22,35654,14755,0.21476853395099443,0
333154,2017-12-20 09:56:35,49,22,10119,21983,-0.2889393351726944,1
338130,2017-06-27 21:00:18,49,22,11864,10672,-0.4055751958265324,1
348393,2017-09-30 11:14:12,49,22,38133,16491,-0.4903482600017538,0
352125,2018-04-12 10:21:08,49,22,59270,4093,-0.20936186842659849,1
352747,2018-02-15 21:07:57,49,22,79266,30923,0.16636465177965165,1
359900,2018-04-07 00:16:14,49,22,84434,27957,-0.5014816830641656,1
381359,2018-01-25 18:19:10,49,22,44485,16024,-0.46437027285612625,1
385091,2017-10-06 18:38:28,49,22,84166,14107,-0.2570765386940777,0
389756,2018-05-18 17:26:40,49,22,87248,6534,-0.6234191737477235,0
392866,2017-03-26 14:12:46,49,22,50128,2860,-0.5089039651057735,0
393488,2018-04-13 13:54:38,49,22,91267,12126,-0.4434288342387325,1
395043,2018-03-05 22:57:31,49,22,28590,1566,-0.007899927297241848,0
400496,2017-09-01 16:26:43,49,22,56260,17870,-0.30479120896155687,0
400733,2018-02-27 13:23:37,49,22,37480,31250,-0.0821227477133206,1
400970,2017-08-14 21:48:04,49,22,88481,28293,-0.5062531500909135,1
401628,2018-07-22 15:09:37,49,22,22921,25425,-0.5597996133910846,1
403100,2018-04-25 10:52:10,49,22,37091,6411,-0.42148008591569214,1
405676,2017-10-26 20:36:07,49,22,16888,15076,0.6123377698796906,1
411012,2017-06-11 23:08:55,49,22,66320,31258,-0.4749735329155661,1
412852,2017-10-04 18:18:28,49,22,57323,31258,-0.4749735329155661,1
426235,2018-05-11 13:08:50,49,22,9442,23561,-0.5905490675634602,1
426240,2018-05-11 13:08:50,49,22,9442,9565,-0.5597996133910846,1
426275,2017-05-08 08:53:43,49,22,9605,27576,-0.2565463756911057,1
426475,2018-08-28 19:32:05,49,22,92236,11356,-0.5651012434208046,1
426500,2017-11-18 14:33:01,49,22,36903,27482,-0.4527066867907424,1
426515,2018-04-13 23:52:54,49,22,80472,23906,-0.5718873298588459,0
426520,2018-04-13 23:52:54,49,22,80472,2284,-0.5846112419301738,0
426530,2017-11-28 17:12:30,49,22,74140,12190,-0.38373248010408634,1
426585,2017-07-26 11:46:34,49,22,40180,13027,-0.6091047726674799,1
426670,2018-02-22 16:51:51,49,22,45918,16124,-0.5478709458242148,1
426700,2017-11-24 22:04:54,49,22,9144,12650,-0.5590573851869238,0
426710,2017-11-24 20:23:20,49,22,15032,17233,-0.567911107336556,0
426785,2018-06-24 17:20:56,49,22,43200,10408,-0.6022126536288439,1
426840,2018-05-13 13:05:02,49,22,77619,21325,-0.5831798018221495,0
426960,2018-06-08 16:42:11,49,22,28525,21601,-0.6340224338071634,0
427124,2018-08-22 20:43:48,49,22,92236,13983,0.21476853395099443,1
427202,2017-11-26 11:34:47,49,22,3907,21567,-0.299489578931837,0
427680,2018-06-03 10:45:31,49,22,91561,3996,-0.6075142836585637,0
427916,2018-05-11 15:35:55,49,22,40759,17553,-0.42148008591569214,1
433965,2018-03-12 15:45:41,49,22,66347,14709,0.0821747669076995,0
439303,2018-03-27 14:04:31,49,22,79098,7007,-0.4532368497937144,1
440167,2018-01-22 18:30:11,49,22,3056,12566,-0.4532368497937144,0
441463,2018-07-01 20:24:32,49,22,76384,17307,-0.5327613002395131,0
443968,2017-08-22 12:44:01,49,22,89749,22763,-0.4373849760048519,1
444962,2018-07-26 08:52:34,49,15,86394,23038,-0.41087682585625235,0
446408,2018-07-01 17:36:44,49,22,52082,14840,-0.4749735329155661,1
451916,2017-06-10 21:50:43,49,16,35497,24504,-0.2894164818753691,1
455757,2017-11-28 15:27:09,49,16,9317,21878,-0.3954490824697674,0
457427,2017-12-13 00:16:27,49,16,53290,5703,-0.2894164818753691,1
460526,2018-05-18 23:47:11,49,20,36084,9518,1.0947861025842027,0
461527,2018-04-24 22:12:17,49,20,18552,9518,0.9304355716628854,1
466527,2017-06-30 14:03:15,49,22,42629,28495,-0.18338388128097088,1
467013,2017-05-19 16:38:56,49,22,39613,12816,-0.4378621227075267,1
467094,2017-12-05 16:57:33,49,22,61713,5217,-0.5597996133910846,0
467175,2017-11-25 12:43:03,49,22,13477,1007,-0.3954490824697674,0
468876,2017-06-01 10:48:48,49,22,71019,18041,-0.41135397255892714,1
469038,2017-08-25 16:19:24,49,22,6768,18852,-0.49087842300472584,0
469362,2017-12-21 04:47:03,49,22,13911,32227,-0.421957232618367,0
471194,2017-06-12 13:14:11,49,22,70091,20431,-0.55402083665869,0
471884,2018-06-05 17:00:04,49,22,9022,2729,-0.20459040139985052,1
472688,2018-02-23 15:31:06,49,22,13908,4251,-0.34773441220228823,0
473309,2018-08-19 11:28:18,49,22,79513,30067,-0.4081729945410951,0
474399,2017-03-22 07:58:24,49,22,10127,23229,-0.5279898332127652,1
477582,2017-08-31 12:29:34,49,22,82817,5368,0.8774722876659834,1
477690,2017-07-02 12:03:31,49,22,71275,8268,-0.3472042491993162,1
478068,2017-10-22 12:19:55,49,22,56813,23191,-0.6075142836585637,0
478302,2017-03-03 18:40:14,49,22,56004,2977,-0.5200373881681853,0
478374,2017-03-03 18:40:14,49,22,56004,24082,-0.6186477067209757,0
480140,2018-08-08 12:18:01,49,22,15780,5569,-0.2889393351726944,0
480491,2017-12-21 09:44:24,49,8,74582,15219,-0.5232183661860172,0
484526,2017-09-22 22:33:22,49,22,38691,7560,-0.5544979833613648,0
485956,2018-03-23 16:36:07,49,22,40710,24086,-0.5063061663912107,0
486375,2017-05-01 18:11:50,49,8,35356,25661,-0.5754924382790556,1
486447,2017-05-01 18:11:50,49,8,35356,25661,-0.5754924382790556,0
486807,2017-05-15 20:46:00,49,8,79743,25961,0.1496645171860339,0
487383,2017-05-17 10:19:05,49,8,25257,14164,-0.6181175437180036,1
489111,2017-05-16 20:39:33,49,8,71118,32015,-0.2746249340924506,1
491631,2017-11-25 15:48:03,49,8,28724,22734,-0.5454852123108408,1
491919,2017-07-06 18:45:30,49,8,91768,945,-0.3901474524400475,0
492351,2017-06-11 16:26:59,49,8,40667,19891,-0.42715283004749244,1
492927,2018-01-05 20:33:32,49,8,90757,19234,-0.09537682278762039,0
493215,2017-05-01 18:11:52,49,8,35356,7767,-0.5962748279955576,0
495159,2017-07-25 19:16:47,49,8,52963,29623,-0.5160081493455981,1
496752,2017-06-18 13:02:08,49,20,70496,27125,0.230620407739857,1
500493,2017-05-18 15:10:11,49,20,52413,27125,0.24122366779929683,1
500928,2017-08-02 07:26:53,49,20,25988,27125,0.230620407739857,1
502497,2017-09-24 19:21:57,49,22,53964,4448,-0.6281906407744715,1
503466,2017-02-17 10:01:37,49,22,29235,12034,-0.5544979833613648,0
503517,2017-02-17 10:01:37,49,22,29235,10706,-0.5544979833613648,0
503619,2017-07-11 15:58:41,49,22,80177,28365,-0.1245357879510799,0
507962,2017-08-03 21:30:20,49,8,48981,19722,-0.5173865731533254,1
515680,2017-08-23 10:07:22,49,8,88816,1693,-0.4484653827669665,1
529132,2018-05-20 15:15:42,49,20,56251,5821,0.7131217567446662,0
530243,2017-07-28 06:22:12,49,22,18678,16547,-0.07687413398389792,1
530319,2017-05-16 12:32:35,49,22,86394,27752,-0.18290673457829615,1
530889,2017-03-22 17:12:10,49,22,74114,27752,-0.2094148847268957,1
530927,2017-04-04 10:41:08,49,22,59126,27752,-0.2094148847268957,1
531414,2017-08-15 10:12:12,49,15,62842,21174,-0.07735128068657265,1
533742,2017-12-19 18:08:44,49,22,76913,17011,-0.4855767929750059,1
534486,2017-12-03 19:22:06,49,22,3625,11862,-0.4855767929750059,1
535254,2017-03-25 18:02:36,49,22,61621,8146,-0.6149365657001717,0
536508,2017-04-24 20:45:32,49,22,60549,26349,0.3202709715424207,0
537206,2018-05-18 10:22:46,49,22,72270,4354,-0.4749735329155661,0
539690,2017-05-29 15:51:23,49,22,27962,11961,-0.5704028734505244,1
540446,2018-02-28 18:33:55,49,22,58276,1706,-0.46967190288584615,0
543038,2017-01-19 13:06:45,49,22,77524,25461,-0.18338388128097088,1
547358,2017-08-07 16:36:51,49,22,73437,13592,-0.421957232618367,0
547466,2018-04-03 16:41:19,49,22,57851,27771,-0.5385930932722051,1
552502,2017-07-22 00:37:22,49,22,80752,8354,-0.3424327821725683,0
556000,2018-04-18 20:57:15,49,22,43423,15521,-0.4479882360642917,0
559339,2017-09-18 21:13:36,49,22,88756,19077,-0.15242236190740666,1
563196,2018-06-25 12:35:38,49,22,10093,15909,-0.5592694503881126,0
563493,2018-04-27 21:16:06,49,22,31632,21699,-0.6195489838260281,0
563592,2018-05-27 18:21:21,49,22,56794,11828,0.17765712374295506,1
563658,2018-08-26 11:02:58,49,22,11183,14236,-0.6202381957298916,1
563724,2018-05-05 17:53:11,49,22,3242,27137,-0.43839228571049865,0
564021,2018-05-02 10:15:02,49,22,1870,7211,0.17765712374295506,1
564351,2018-06-15 17:36:25,49,22,69141,14485,-0.5651012434208046,1
564384,2018-06-24 17:08:53,49,22,86190,14485,-0.5651012434208046,1
564417,2018-05-21 11:47:59,49,22,60696,14060,0.02921148291079753,0
564582,2018-07-10 12:15:42,49,22,78062,4411,-0.4664909248680142,0
564648,2018-08-26 11:02:58,49,22,11183,21071,-0.5544979833613648,1
564912,2018-07-31 22:44:06,49,22,23570,10691,-0.6038031426377599,0
564945,2018-07-31 22:44:06,49,22,23570,4669,-0.6175873807150316,0
564978,2018-07-31 22:44:06,49,22,23570,18778,-0.6043333056407318,0
566003,2018-04-27 14:06:22,49,15,29654,10586,-0.5595345318895986,0
566219,2017-11-22 00:20:53,49,20,87162,6748,0.2571815741887537,0
567663,2018-07-23 15:11:08,49,8,1173,1714,-0.3212262620536886,1
568108,2018-03-22 11:30:05,49,8,34107,31732,-0.36894093232116787,0
569124,2018-07-23 22:18:51,49,22,11751,25588,-0.07735128068657265,1
570063,2018-07-02 19:56:43,49,22,83778,23113,-0.5279898332127652,1
570660,2018-05-11 15:39:55,49,15,66387,24099,-0.297368926919949,1
570992,2017-07-25 17:40:12,49,22,73777,20493,-0.5274596702097931,1
571061,2018-06-15 14:26:18,49,22,84707,19690,-0.5014816830641656,0
571084,2017-09-13 09:41:55,49,22,29959,19690,-0.5014816830641656,1
571291,2018-05-18 00:35:10,49,22,72627,12387,-0.5014816830641656,1
571567,2017-06-17 13:45:51,49,22,57235,2049,-0.5274596702097931,0
571705,2017-05-16 17:41:05,49,22,89876,2049,-0.5274596702097931,0
571728,2017-06-17 13:45:51,49,22,57235,26675,-0.5274596702097931,0
571866,2018-07-01 20:24:32,49,22,76384,19541,-0.5603297763940566,0
571889,2018-06-10 23:04:44,49,22,34887,19614,-0.4484653827669665,1
571935,2018-04-26 16:49:42,49,22,86922,19614,-0.4484653827669665,1
572943,2017-11-21 08:24:21,49,22,7309,2296,-0.2894164818753691,1
573977,2018-02-15 09:50:21,49,22,61490,11440,-0.33182952211312844,0
587688,2018-04-21 16:57:10,49,22,83008,21247,-0.5544979833613648,1
590090,2018-03-11 19:07:43,49,22,19240,643,1.2590836172052227,0
590172,2018-03-11 19:07:43,49,22,19240,29166,0.9847772794675145,0
599750,2018-06-13 14:34:17,49,22,9022,14566,-0.5757045034802443,1
599783,2018-06-04 22:24:34,49,22,83458,14566,-0.5757045034802443,0
600080,2018-08-24 13:04:05,49,22,51931,12775,-0.5863077635396842,0
612298,2018-01-11 10:56:15,49,22,22936,30961,-0.029106447416121495,0
612620,2017-11-26 05:14:06,49,22,26606,11328,-0.3954490824697674,0
613057,2018-02-05 17:16:35,49,22,92467,15966,-0.3954490824697674,0
613656,2017-11-26 17:44:33,49,22,74079,26275,-0.42148008591569214,0
615366,2018-01-09 23:49:14,49,22,72454,4693,-0.2941879489021171,1
615798,2017-11-06 18:17:50,49,22,89184,26805,-0.2417018116078899,1
615988,2018-05-03 16:02:17,49,22,26244,10976,-0.4489955457699385,1
616292,2018-05-04 22:43:20,49,22,3410,8403,-0.4489955457699385,0
617491,2018-01-24 13:52:59,49,22,42267,11998,-0.3419556354698935,1
619634,2017-10-05 17:40:46,49,22,30253,13671,-0.2894164818753691,0
620758,2018-06-13 15:39:09,49,22,58426,8658,-0.5014816830641656,0
622806,2018-02-27 15:21:59,49,15,21502,10316,-0.029106447416121495,1
624369,2017-10-07 17:46:00,49,15,14344,297,-0.3737123993479157,0
627606,2018-02-23 13:56:36,49,15,15028,26292,-0.3424327821725683,1
627766,2018-05-16 23:45:47,49,15,44903,14526,-0.19345697833743875,1
629758,2018-01-28 22:52:59,49,22,39315,24398,-0.28994664487834115,1
630440,2018-01-25 21:10:57,49,22,74369,31231,-0.3424327821725683,1
642967,2018-03-21 10:47:48,49,8,92121,26213,0.07162452314855682,0
645017,2018-02-16 19:10:37,49,8,27218,4209,0.07162452314855682,0
645317,2017-11-13 10:03:38,49,8,92521,4209,0.12994245347547584,0
645367,2018-01-30 16:35:30,49,8,77912,4209,0.07162452314855682,1
645667,2018-04-26 17:11:38,49,8,59291,4209,0.07162452314855682,0
645817,2018-07-10 20:40:26,49,8,79294,4209,0.07162452314855682,0
646717,2018-01-16 12:38:49,49,8,5585,9615,0.02390985288107762,1
648467,2018-05-27 18:14:56,49,8,56794,9615,0.02390985288107762,1
648517,2017-12-04 15:58:53,49,8,53980,9615,0.02390985288107762,0
649467,2018-01-11 10:34:34,49,8,67962,3940,0.02390985288107762,1
654708,2018-07-23 18:09:50,49,22,76700,17754,-0.4002205494965153,1
655212,2018-07-24 17:06:32,49,22,77234,25725,-0.20946790102719284,0
655896,2018-04-19 22:39:41,49,22,20313,30821,-0.3207491153510138,1
656112,2018-07-25 19:02:13,49,22,90695,18883,-0.029106447416121495,1
657276,2018-03-25 20:34:15,49,22,73242,26899,-0.32652789208340854,1
657692,2018-05-28 14:18:26,49,22,1210,17611,0.8244559873687843,1
657770,2018-07-05 00:58:05,49,22,52944,17611,0.8774722876659834,0
657874,2018-07-23 12:04:23,49,22,92067,20197,1.0365211885575807,1
658056,2018-07-05 00:58:05,49,22,52944,20197,1.0365211885575807,0
662685,2018-06-11 13:57:23,49,8,44309,7188,0.023379689878105656,0
666616,2018-07-25 23:52:56,49,22,11194,9183,-0.13036758098377177,1
668789,2017-11-03 00:44:46,49,22,9498,8619,1.9372681306069937,1
670709,2018-06-03 14:57:09,49,22,62992,24011,0.02915846661050038,0
682239,2018-07-28 15:47:52,49,22,24860,26653,1.0389069220709546,0
682469,2018-07-20 16:38:35,49,22,89203,20012,-0.23640018157817,0
682745,2017-03-22 10:34:48,49,22,85134,5630,-0.47937388584023355,1
683602,2017-02-06 22:54:50,49,22,40949,16449,0.16175223365379532,1
689288,2018-08-27 12:39:11,49,22,56176,17769,-0.3153944690209967,0
689798,2018-07-23 15:44:35,49,15,11588,14032,-0.03796016956575376,1
698148,2017-08-24 18:34:48,49,3,61305,7730,-0.4055221795262352,0
698187,2017-02-09 11:01:14,49,3,41508,15897,-0.4055221795262352,0
698667,2017-07-08 21:51:52,49,22,82932,12064,-0.13036758098377177,1
699231,2017-06-10 19:55:18,49,22,60616,19963,-0.2894164818753691,1
700359,2018-02-13 16:23:29,49,22,68233,28059,-0.2894164818753691,0
700923,2017-12-19 20:53:41,49,22,73809,28059,-0.2894164818753691,0
702756,2017-02-11 21:54:04,49,22,86350,31305,-0.5279898332127652,1
703884,2017-10-11 12:10:23,49,22,9651,22867,-0.13036758098377177,0
706653,2018-06-21 12:20:52,49,22,54842,13521,-0.3100928389912768,0
709427,2017-10-09 18:47:07,49,8,56244,27973,-0.5173865731533254,1
710237,2018-04-30 09:26:04,49,22,44608,24218,-0.4399827747194146,1
713228,2018-02-24 10:35:46,49,22,66005,8921,-0.5279898332127652,1
713388,2018-05-26 12:03:33,49,22,93657,25720,-0.19679700525616226,0
714018,2018-03-11 12:49:14,49,20,42531,16661,0.20257478488263858,0
715670,2018-05-27 19:06:04,49,15,40780,17946,-0.23640018157817,0
719083,2018-01-14 08:09:08,49,22,60546,5778,-0.6075142836585637,0
719863,2017-08-24 11:31:28,49,22,44869,26869,-0.6075142836585637,0
720773,2017-09-18 11:18:00,49,22,45175,28554,-0.6075142836585637,1
721163,2018-08-24 13:04:05,49,22,51931,777,-0.5646240967181297,0
721174,2018-08-24 13:04:05,49,22,51931,11301,-0.5613901024000005,0
722211,2017-01-28 18:30:17,49,16,21724,15721,-0.5009515200611936,0
722352,2017-04-25 10:10:12,49,16,8216,4172,-0.46437027285612625,0
722446,2017-04-25 10:10:12,49,16,8216,906,-0.4855767929750059,0
723775,2017-11-25 15:48:04,49,19,28724,25799,5.436874113225107,1
724723,2018-08-20 14:44:08,49,20,26903,1019,0.9299584249602104,1
729227,2018-03-11 22:52:36,49,22,92972,17501,-0.5014816830641656,0
730799,2018-08-20 14:45:48,49,19,38725,17099,-0.262484201324392,0
734463,2018-07-25 01:12:50,49,19,84133,20206,-0.19345697833743875,0
735493,2018-07-25 01:12:50,49,19,84133,3649,-0.24117164860491794,0
738218,2018-08-24 13:04:05,49,15,51931,21050,-0.5704028734505244,0
739521,2018-07-06 14:41:04,49,15,82491,5423,-0.5010045363614908,0
740321,2018-08-07 12:16:16,49,22,48917,29379,-0.34773441220228823,1
744703,2018-04-10 14:09:05,49,22,65273,1791,-0.5815362965129363,1
744734,2018-06-04 15:29:14,49,22,65273,15868,-0.5831267855218523,0
744796,2018-04-10 14:09:05,49,22,65273,15868,-0.5831267855218523,1
747379,2018-06-07 17:53:48,49,22,16261,3417,-0.19345697833743875,0
747400,2017-12-20 11:07:49,49,22,84484,20590,-0.5062531500909135,0
748351,2018-06-09 21:46:58,49,8,35880,16258,-0.27828305881295734,0
748631,2018-06-09 21:46:58,49,8,35880,19607,-0.27828305881295734,0
752498,2017-01-24 21:16:50,49,22,30227,25255,0.1347139205022238,1
752667,2018-05-15 22:58:42,49,22,30790,3720,-0.4351052750920723,1
752679,2018-05-15 22:58:42,49,22,30790,7716,0.19578869844459706,1
752687,2018-05-06 17:41:38,49,22,71302,7716,0.19578869844459706,0
754001,2018-08-24 13:04:05,49,22,51931,4705,-0.6234191737477235,0
754350,2017-08-18 13:53:01,49,19,7300,1363,-0.23640018157817,0
755288,2018-08-17 13:57:35,49,19,46210,5353,-0.1426143463524248,0
759678,2017-06-20 15:45:54,6,22,87396,20480,-0.23640018157817,0
766084,2018-06-04 00:00:13,6,22,32175,18662,-0.45058603477885445,0
767566,2018-02-21 16:48:43,6,22,73350,18662,-0.45058603477885445,1
769789,2018-01-26 16:19:34,6,22,43591,30634,-0.5120849431236054,0
770036,2018-02-12 21:04:36,6,22,31618,30634,-0.5120849431236054,1
771024,2018-01-22 16:53:38,6,22,87177,30634,-0.5120849431236054,0
